Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2018,12,Male,16,Right-Handed,177,27,175,1,Bicycle,10,0.383,39,Soccer,300,500,500,700,1000,800,26,Right foot,71,77,Ring finger,August,Spring,Yes,No,Meat,Water,Mathematics and statistics,7,7,5,Yes - broadband connection,Internet chat or instant messaging,4,8,5,1,10,3,2,5,1,2,10,0,16,4,A lot,Graduate degree,Rock and roll,Invisibility,Rich,Relative,Health
USA,NJ,2018,12,Male,17,Right-Handed,183,29,198,1,Car,7,0.096,40,Football (American),,,,,,,28.7,Right foot,88.9,,Ring finger,January,Fall,No,No,No favorite,Water,Mathematics and statistics,6,12,4,Yes - broadband connection,In person,200,210,5,1,1,1,1,1,1,1,1,4,0,1,Some,Graduate degree,Rap/Hip hop,Freeze time,Famous,Other,Education/Youth development
USA,PA,2018,12,Male,17,Right-Handed,175,27,186,1,Car,7,0.393,55,Bowling,500,500,500,750,950,900,27,Same length,100,110,Ring finger,October,Spring,Yes,No,Desserts,Powdered drink,Science,6,9,4,Yes - broadband connection,Text messaging,40,80,6,1,15,2,10,4,15,20,25,5,10,2,Some,Graduate degree,Rock and roll,Telepathy,Happy,Relative,International aid
USA,CT,2018,12,Male,17,Left-Handed,175,,175,1,Bus,10,0.319,65,Football (American),800,800,800,800,1000,1000,,,,,,September,Fall,Yes,No,Pizza/Pasta,Sports drink,Other,6,14,7,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,0,0,2,0,3,5,3,0,4,1,0,1,Some,Graduate degree,Other,Freeze time,Rich,Coach or club leader,Other
USA,OH,2018,12,Male,17,Right-Handed,180,29,180,2,Bus,15,0.356,33,Soccer,1000,813,1000,1000,59,465,29,Same length,64,79,Ring finger,May,Winter,Yes,No,Meat,Water,Physical education,3,8,5,Yes - broadband connection,Other,15,15,3,1,0,10,0,50,0,1,50,20,0,5,Very little,Graduate degree,Other,Super strength,Rich,Actor,Health
USA,CA,2018,12,Female,17,Right-Handed,170,26,170,2,Car,17,0.306,31,Other,1000,850,850,850,850,1000,25.5,Right foot,102,127,Ring finger,October,Spring,No,No,Rice/Noodle dishes,Water,English,6,9,3,Yes - broadband connection,Text messaging,5,15,5,1,5,5,2,1,25,5,40,1,0,4,Some,Graduate degree,Pop,Telepathy,Happy,Politician,Environment
USA,CA,2018,12,Male,16,Right-Handed,185,30,190,4,Boat,120,0.719,56,Swimming,0,0,0,0,1000,1000,28,Right foot,19,12,Index finger,October,Winter,No,No,Fruit,Water,Art,5,16,7,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2000,1,2,7,1,15,2,65,100,20,100,12,0,3,A lot,Undergraduate degree,Classical,Fly,Happy,Other,Other
USA,CA,2018,12,Male,17,Right-Handed,171,26,180,1,Car,15,0.429,56,Other,500,500,500,500,1000,1000,27,Left foot,100,110,Ring finger,February,Fall,No,No,No favorite,Water,Other,7,10,5,Yes - broadband connection,Internet chat or instant messaging,0,0,2,0,4,0,2,7,1,0,7,0,0,2,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Religious
USA,TX,2018,12,Male,18,Right-Handed,184,28,76,2,Car,30,0.4,60,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2018,12,Male,17,Right-Handed,175,25,170,1,Car,20,0.6,,Football (American),0,0,0,0,1000,1000,25,Same length,80,90,Ring finger,January,Winter,No,No,Meat,Water,Physical education,6,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,80,20,3,3,2,5,30,30,20,20,0,40,0,Very little,Graduate degree,Rap/Hip hop,Super strength,Happy,Other,Health
USA,CO,2018,12,Male,18,Right-Handed,167,25,165,2,Car,8,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2018,12,Male,18,Right-Handed,189,27,176,1,Car,2,0.322,33,Table Tennis,500,500,500,0,750,1000,27,Same length,76,72,Index finger,May,Summer,No,No,Meat,Water,Physical education,8,10,6,Yes - broadband connection,Text messaging,7,10,25,10,2,10,15,5,5,5,10,5,25,2,Some,Undergraduate degree,Rap/Hip hop,Fly,Healthy,Relative,Education/Youth development
USA,FL,2018,12,Female,17,Right-Handed,168,26,170,1,Car,20,0.689,40,None,1000,1000,1000,950,500,750,25,Right foot,650,700,Ring finger,August,Fall,No,No,Rice/Noodle dishes,Water,Other,6,10,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,30,3,1,5,16,0,1,10,5,10,2,20,2,A lot,Undergraduate degree,Rap/Hip hop,Invisibility,Happy,Other,Education/Youth development
USA,SC,2018,12,Male,17,Left-Handed,178,29,182,1,Car,10,0.291,57,Basketball,535,503,722,717,1000,1000,27,Right foot,86,86,Same length,January,Winter,No,No,Pizza/Pasta,Powdered drink,Music,5.5,9,3,Yes - broadband connection,Text messaging,30,30,1,0.5,0,3,1,26,4,10,10,8,0,0,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Friend,"Arts, culture, sports"
USA,MA,2018,12,Male,17,Right-Handed,185.4,11,13,2,Bus,15,0.514,55,Basketball,500,700,800,800,800,1000,11,Same length,4,3,Index finger,November,Fall,No,No,Vegetables,Water,History,6,8,2,Yes - broadband connection,Text messaging,4,0,4,2,4,5,2,0,4,5,6,8,1,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Business person,Religious
USA,MA,2018,12,Male,18,Right-Handed,183,50,150,2,Rail (Train/Tram/Subway),40,0.845,68,Soccer,6,6,4,4,10,10,50,Right foot,30,32,Ring finger,November,Fall,No,No,Breads/Sandwiches,Soft drink (caffeinated),Physical education,6,10,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",3,4,0,0,2,1,1,10,40,1,40,15,10,1,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Sports person,"Wildlife, animals"
USA,CA,2018,12,Female,17,Right-Handed,143,24,141,1,Car,6,0.298,41,Other,900,700,1000,500,1000,1000,23.5,Right foot,69,70,Ring finger,January,Summer,Yes,No,Poultry,Water,Mathematics and statistics,4,9,3,Yes - other,Other,5,10,50,30,5,5,10,5,20,5,30,5,10,5,Some,Undergraduate degree,Rap/Hip hop,Telepathy,Healthy,Actor,Health
USA,PA,2018,12,Male,17,Right-Handed,178,29,178,1,Car,15,0.39,35,Other,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NJ,2018,12,Female,17,Right-Handed,68,25,172,1,Car,10,0.3,51,Rowing,1000,1000,1000,1000,1000,1000,26,Left foot,85,95,Ring finger,February,Summer,Yes,Yes,Pizza/Pasta,Water,Mathematics and statistics,6,7,5,Yes - other,Cell phone,100,100,6,5,10,10,20,0,5,4,15,9,10,0,Some,Graduate degree,Country,Fly,Healthy,Relative,International aid
USA,ID,2018,12,Male,27,Right-Handed,167,29.3,155,2,Walk,15,0.53,0.69,Other,50,50,50,50,90,100,29,Same length,101,100,Index finger,June,Winter,Yes,No,No favorite,Water,Physical education,7,7,2,Yes - other,Text messaging,25,20,5,5,20,6,8,0,3,5,20,10,20,16,A lot,Some college,Country,Telepathy,Healthy,Coach or club leader,"Arts, culture, sports"
USA,ID,2018,12,,,,,,,,,,,,,,,,,,,,,,,,October,Spring,No,No,Meat,Water,Other,7,9,2,Yes - other,Text messaging,2,2,4,3,20,10,4,0,3,1,5,4,20,8,A lot,Undergraduate degree,Country,Fly,Happy,Relative,Religious
USA,PA,2018,12,Female,17,Right-Handed,172,26,181,2,Car,11,0.55,50,Swimming,20,250,700,600,500,500,26,Same length,,7.7,Same length,January,Summer,No,No,Meat,Water,Music,5.5,8,4,Yes - broadband connection,Text messaging,30,150,2,5.5,14,10,2,0,5,,6,2,7,3,A lot,Graduate degree,Other,Telepathy,Happy,Friend,Other
USA,PA,2018,12,Female,16,Left-Handed,155,22,130,4,Walk,13,0.446,43,Soccer,1000,620,781,1000,1000,1000,22,Same length,71,66,Ring finger,February,Fall,No,Yes,Rice/Noodle dishes,Water,History,4,10,5,Yes - other,Internet chat or instant messaging,200,200,2,0.1,22,2,0,0,2,4,10,0,0,3,A lot,Graduate degree,Rhythm and blues (R&B),Freeze time,Happy,Musician or singer,Health
USA,AL,2018,12,Male,17,Left-Handed,176,27,180,2,Car,27,0.886,54,Swimming,0,100,500,300,700,1000,27,Same length,50,60,Index finger,July,Winter,No,No,Meat,Soft drink (caffeinated),Music,5,9,5,Yes - broadband connection,Text messaging,105,95,10,10,1,1,0,1,50,30,20,7,18,3,A lot,Undergraduate degree,Gospel,Telepathy,Happy,Business person,Religious
