Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,PA,2018,12,Female,17,Ambidextrous,173,24,173,1.75,Bus,10,0.427,37,Basketball,952,941,930,936,941,508,23.5,Right foot,158,159,Ring finger,February,Fall,Yes,No,Rice/Noodle dishes,Water,History,5,10,3,Yes - broadband connection,Internet chat or instant messaging,5,37,3,1,4,3,1,1,15,6,18,1,12,7,A lot,Undergraduate degree,Classical,Telepathy,Happy,Friend,International aid
USA,ID,2018,12,Female,19,Right-Handed,168,10,56,1,Walk,5,0.6,46,Walking/Hiking,840,626,904,540,513,936,12,Left foot,63,38.1,Index finger,July,Spring,No,No,Pizza/Pasta,Water,Science,7,9,6,Yes - broadband connection,Text messaging,20,13,10,5,25,8,4,6,9,4,40,20,0,4,Some,Other,Rock and roll,Freeze time,Happy,Religious figure,"Wildlife, animals"
USA,WI,2018,12,Female,17,Right-Handed,170,25,172,1,Car,9,0.36,38,None,1000,1000,1000,1000,700,700,25,Same length,130,80,Ring finger,February,Fall,Yes,Yes,Pizza/Pasta,Water,Social studies,8,6,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",6,5,30,1,0,3,2,0,5,5,5,4,20,1,Some,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Musician or singer,"Arts, culture, sports"
USA,CA,2018,12,Male,16,Right-Handed,180,29,77,5,Car,2,0.375,40,Swimming,700,700,700,500,800,800,29,Same length,83,85,Ring finger,June,Spring,No,No,Rice/Noodle dishes,Water,Science,8,8,6,Yes - broadband connection,Text messaging,4,3,1,0,3,5,4,0,0,1,60,0,0,4,None,Other,Pop,Freeze time,Healthy,Doctor or nurse,Other
USA,CA,2018,12,Male,17,Left-Handed,172,27,,,Rail (Train/Tram/Subway),45-50,0.71,34,Skateboarding/Rollerblading,1000,890,960,670,100,50,27,Same length,102,76,Index finger,January,Winter,No,No,Seafood,Water,English,6,9,6,Yes - broadband connection,Text messaging,50,40,10,5,9,30,5,2,9,12,20,3,0,20,A lot,Undergraduate degree,Punk rock,Freeze time,Happy,Actor,"Arts, culture, sports"
USA,IL,2018,12,Female,15,Right-Handed,162,22,146,3,Car,13,0.371,42,Skateboarding/Rollerblading,700,600,300,400,300,300,22.5,Left foot,70,65,Index finger,November,Fall,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,7,9,3,Yes - broadband connection,Text messaging,150,170,20,7,10,15,1,0,4,5,4,2,0,2,Very little,Graduate degree,Other,Freeze time,Happy,Relative,Health
USA,DE,2018,12,Male,17,Right-Handed,182,26,182,1,Car,20,0.661,40,Baseball/Softball,969,1000,800,800,800,1000,26,Same length,80,85,Ring finger,March,Fall,Yes,No,Meat,Water,Mathematics and statistics,6,8,5,Yes - broadband connection,Cell phone,150,150,16,1,6,6,8,4,4,6,6,0,9,4,Very little,Graduate degree,Rap/Hip hop,Invisibility,Rich,Relative,Health
USA,FL,2018,12,Male,16,Right-Handed,181,27,183,1,Car,5,0.38,37,Basketball,178,210,180,180,540,540,27,Same length,81,85,Ring finger,November,Spring,No,No,Poultry,Water,Languages,7,10,3,Yes - dial-up connection,In person,8,12,8,1,2,8,4,0,4,3,1,10,28,16,None,High school,Rap/Hip hop,Telepathy,Rich,Business person,"Wildlife, animals"
USA,CA,2018,12,Male,17,Right-Handed,185.4,30,20,2,Car,20,0.418,39,Basketball,0,500,200,400,600,800,30,Same length,8,8,Same length,April,Summer,Yes,No,Seafood,Water,Mathematics and statistics,9,8,4,Yes - broadband connection,Text messaging,200,180,8,2,3,4,6,8,8,8,8,4,0,3,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Sports person,Religious
USA,PA,2018,12,Male,17,Right-Handed,178,26,193,1,Car,10,0.37,47,Other,700,700,100,500,100,100,26,Same length,65,75,Ring finger,September,Winter,Yes,No,Rice/Noodle dishes,Water,Science,8,6,3,Yes - other,Text messaging,50,50,14,1,8,4,13,1,14,2,14,8,0,8,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Relative,Environment
